hanja|hangul|english|hidden_index
大望|대망|ambition| 大 望     
覇氣|패기|ambition| 覇 氣     
救急車|구급차|ambulance| 救 急 車    
潛伏|잠복|ambush| 潛 伏     
伏兵|복병|ambush| 伏 兵     
改正|개정|amendment| 改 正     
紫水晶|자수정|amethyst| 紫 水 晶    
友好的|우호적인|amicable| 友 好 的    
彈藥|탄약|ammunition| 彈 藥     
恩赦|은사|amnesty| 恩 赦     
大赦|대사|amnesty| 大 赦     
特赦|특사|amnesty| 特 赦     
敷衍|부연|amplification| 敷 衍     
同化作用|동화작용|anabolism| 同 化 作 用   
類推|유추|analogy| 類 推     
分析|분석|analysis| 分 析     
解析|해석|analysis| 解 析     
分解|분해|analysis| 分 解     
無政府|무정부|anarchy| 無 政 府    
破門|파문|anathema| 破 門     
系統|계통|ancestry| 系 統     
逸話|일화|anecdote| 逸 話     
狹心症|협심증|angina pectoris| 狹 心 症    
被子植物|피자식물|angiosperm| 被 子 植 物   
角度|각도|angle| 角 度     
苦惱|고뇌|anguish| 苦 惱     
角速度|각속도|angular velocity| 角 速 度    
動物|동물|animal| 動 物     
畜産|축산|animal husbandry| 畜 産     
全滅|전멸|annihilation| 全 滅     
記念日|기념일|anniversary| 記 念 日    
註釋|주석|annotation| 註 釋     
註解|주해|annotation| 註 解     
發表|발표|announcement| 發 表     
年金|연금|annuity| 年 金     
陽極|양극|anode| 陽 極     
匿名|익명자|anonym| 匿 名     
匿名|익명|anonymity| 匿 名     
無名|무명|anonymity| 無 名     
敵對|적대|antagonism| 敵 對     
觸角|촉각|antenna| 觸 角     
類人猿|유인원|anthropoid| 類 人 猿    
豫想|예상|anticipation| 豫 想     
反感|반감|antipathy| 反 感     
對蹠的|대척적인|antipodal| 對 蹠 的    
古物|고물|antique| 古 物     
對照|대조|antithesis| 對 照     
反意語|반의어|antonym| 反 意 語    
肛門|항문|anus| 肛 門     
不安|불안|anxiety| 不 安     
大動脈|대동맥|aorta| 大 動 脈    
格言|격언|aphorism| 格 言     
催淫劑|최음제|aphrodisiac| 催 淫 劑    
媚藥|미약|aphrodisiac| 媚 藥     
養蜂|양봉|apiculture| 養 蜂     
默示|묵시|apocalypse| 默 示     
辨明|변명하다|apologize| 辨 明     
謝罪|사죄|apology| 謝 罪     
變節|변절|apostasy| 變 節     
裝置|장치|apparatus| 裝 置     
幽靈|유령|apparition| 幽 靈     
妖怪|요괴|apparition| 妖 怪     
哀願|애원하다|appeal| 哀 願     
出現|출현|appearance| 出 現     
出頭|출두|appearance| 出 頭     
外觀|외관|appearance| 外 觀     
鎭靜|진정|appeasement| 鎭 靜     
食慾食欲|식욕|appetite| 食 慾 食 欲   
慾望欲望|욕망|appetite| 慾 望 欲 望   
應募者|응모자|applicant| 應 募 者    
申請|신청|application| 申 請     
應用|응용|application| 應 用     
指名|지명하다|appoint| 指 名     
任命|임명|appointment| 任 命     
鑑賞|감상|appreciation| 鑑 賞     
逮捕|체포하다|apprehend| 逮 捕     
逮捕|체포|apprehension| 逮 捕     
徒弟|도제|apprentice| 徒 弟     
見習|견습|apprentice| 見 習     
接近|접근하다|approach| 接 近     
充當|충당|appropriation| 充 當     
是認|시인|approval| 是 認     
贊成|찬성|approval| 贊 成     
是認|시인하는|approving| 是 認     
大略|대략|approximately| 大 略     
近似値|근사치|approximation| 近 似 値    
從物|종물|appurtenance| 從 物     
適性|적성|aptitude| 適 性     
水族館|수족관|aquarium| 水 族 館    
仲裁|중재|arbitration| 仲 裁     
射手|사수|archer| 射 手     
弓術|궁술|archery| 弓 術     
典型|전형적인|archetypal| 典 型     
群島|군도|archipelago| 群 島     
多島海|다도해|archipelago| 多 島 海    
公文書|공문서|archives| 公 文 書    
面積|면적|area| 面 積     
地域|지역|area| 地 域     
地方|지방|area| 地 方     
領域|영역|area| 領 域     
貴族|귀족|aristocrat| 貴 族     
算數|산수|arithmetic| 算 數     
等差數列|등차수열|arithmetic progression| 等 差 數 列   
方舟|방주|ark| 方 舟     
武器|무기|arm| 武 器     
兵器|병기|arm| 兵 器     
艦隊|함대|armada| 艦 隊     
軍備|군비|armament| 軍 備     
休戰|휴전|armistice| 休 戰     
陸軍|육군|army| 陸 軍     
軍隊|군대|army| 軍 隊     
芳香|방향|aroma| 芳 香     
氣品|기품|aroma| 氣 品     
整理|정리|arrangement| 整 理     
配列|배열|arrangement| 配 列     
編曲|편곡|arrangement| 編 曲     
逮捕|체포하다|arrest| 逮 捕     
沮止|저지하다|arrest| 沮 止     
逮捕|체포|arrest| 逮 捕     
到着|도착|arrival| 到 着     
出現|출현|arrival| 出 現     
放火|방화|arson| 放 火     
藝術|예술|art| 藝 術     
美術館|미술관|art gallery| 美 術 館    
動脈|동맥|artery| 動 脈     
記事|기사|article| 記 事     
物品|물품|article| 物 品     
條目|조목|article| 條 目     
條項|조항|article| 條 項     
造花|조화|artificial flowers| 造 花     
大砲|대포|artillery| 大 砲     
砲兵|포병|artillery| 砲 兵     
砲術|포술|artillery| 砲 術     
藝術的|예술적인|artistic| 藝 術 的    
美術的|미술적인|artistic| 美 術 的    
石綿|석면|asbestos| 石 綿     
上昇|상승적인|ascending| 上 昇     
請求|청구하다|ask| 請 求     
局面|국면|aspect| 局 面     
樣相|양상|aspect| 樣 相     
中傷|중상하다|asperse| 中 傷     
大望|대망|aspiration| 大 望     
抱負|포부|aspiration| 抱 負     
暗殺者|암살자|assassin| 暗 殺 者    
刺客|자객|assassin| 刺 客     
暗殺|암살|assassination| 暗 殺     
暗殺者|암살자|assassinator| 暗 殺 者    
暴行|폭행|assault| 暴 行     
集會|집회|assembly| 集 會     
會議|회의|assembly| 會 議     
集合|집합|assembly| 集 合     
組立|조립|assembly| 組 立     
主張|주장|assertion| 主 張     
資産|자산|asset| 資 産     
財産|재산|asset| 財 産     
割當|할당|assignment| 割 當     
同化|동화|assimilation| 同 化     
助力|조력|assistance| 助 力     
助手|조수|assistant| 助 手     
同僚|동료|associate| 同 僚     
組合|조합|association| 組 合     
交際|교제|association| 交 際     
種別|종별|assortment| 種 別     
假定|가정|assumption| 假 定     
保證|보증|assurance| 保 證     
保證|보증하다|assure| 保 證     
喘息|천식|asthma| 喘 息     
亂視|난시|astigmatism| 亂 視     
占星術|점성술|astrology| 占 星 術    
非對稱|비대칭|asymmetry| 非 對 稱    
無神論|무신론|atheism| 無 神 論    
大氣|대기|atmosphere| 大 氣     
空氣|공기|atmosphere| 空 氣     
環礁|환초|atoll| 環 礁     
原子|원자|atom| 原 子     
微塵|미진|atom| 微 塵     
噴霧器|분무기|atomizer| 噴 霧 器    
心房|심방|atrium| 心 房     
萎縮|위축하다|atrophy| 萎 縮     
愛着|애착|attachment| 愛 着     
出席|출석|attendance| 出 席     
證言|증언하다|attest| 證 言     
姿勢|자세|attitude| 姿 勢     
態度|태도|attitude| 態 度     
代理人|대리인|attorney| 代 理 人    
屬性|속성|attribute| 屬 性     
聽衆|청중|audience| 聽 衆     
監査|감사|audit| 監 査     
講堂|강당|auditorium| 講 堂     
伯母|백모|aunt| 伯 母     
聽診|청진|auscultation| 聽 診     
嚴格|엄격|austerity| 嚴 格     
嚴肅|엄숙|austerity| 嚴 肅     
眞實性|진실성|authenticity| 眞 實 性    
著者|저자|author| 著 者     
權威|권위|authority| 權 威     
權力|권력|authority| 權 力     
權能|권능|authority| 權 能     
權限|권한|authority| 權 限     
自閉症|자폐증|autism| 自 閉 症    
自敍傳|자서전|autobiography| 自 敍 傳    
獨裁者|독재자|autocrat| 獨 裁 者    
自署|자서하다|autograph| 自 署     
自動車|자동차|automobile| 自 動 車    
自治|자치|autonomy| 自 治     
檢屍|검시|autopsy| 檢 屍     
助動詞|조동사|auxiliary verb| 助 動 詞    
有效|유효|availability| 有 效     
貪慾|탐욕|avarice| 貪 慾     
復讐|복수하다|avenge| 復 讐     
街路|가로|avenue| 街 路     
餘技|여기|avocation| 餘 技     
回避|회피하다|avoid| 回 避     
覺醒|각성|awakening| 覺 醒     
授與|수여하다|award| 授 與     
裁定|재정하다|award| 裁 定     
公理|공리|axiom| 公 理     
車軸|차축|axle| 車 軸     
氣骨|기골|backbone| 氣 骨     
背景|배경|background| 背 景     
支援|지원|backing| 支 援     
背泳|배영|backstroke| 背 泳     
奧地|오지|backwoods| 奧 地     
記章|기장|badge| 記 章     
不良|불량|badness| 不 良     
保釋|보석|bail| 保 釋     
重曹|중조|baking soda| 重 曹     
均衡|균형|balance| 均 衡     
實彈|실탄|ball cartridge| 實 彈     
氣球|기구|balloon| 氣 球     
香油|향유|balm| 香 油     
鳳仙花|봉선화|balsam| 鳳 仙 花    
禁止|금지하다|ban| 禁 止     
禁制|금제|ban| 禁 制     
繃帶|붕대|bandage| 繃 帶     
山賊|산적|bandit| 山 賊     
追放|추방|banishment| 追 放     
堤防|제방|bank| 堤 防     
銀行|은행|bank| 銀 行     
破産|파산|bankruptcy| 破 産     
破綻|파탄|bankruptcy| 破 綻     
旗幟|기치|banner| 旗 幟     
宴會|연회|banquet| 宴 會     
洗禮|세례|baptism| 洗 禮     
晴雨計|청우계|barometer| 晴 雨 計    
男爵|남작|baron| 男 爵     
兵營|병영|barrack| 兵 營     
彈幕|탄막|barrage| 彈 幕     
關門|관문|barrier| 關 門     
障壁|장벽|barrier| 障 壁     
玄武岩|현무암|basalt| 玄 武 岩    
基地|기지|base| 基 地     
走壘|주루|base running| 走 壘     
野球|야구|baseball| 野 球     
地下室|지하실|basement| 地 下 室    
地階|지계|basement| 地 階     
根本的|근본적인|basic| 根 本 的    
基礎|기초|basis| 基 礎     
根據|근거|basis| 根 據     
籠球|농구|basketball| 籠 球     
沐浴|목욕|bathing| 沐 浴     
浴室|욕실|bathroom| 浴 室     
浴槽|욕조|bathtub| 浴 槽     
電池|전지|battery| 電 池     
戰鬪|전투|battle| 戰 鬪     
陣容|진용|battle array| 陣 容     
戰場|전장|battlefield| 戰 場     
戰艦|전함|battleship| 戰 艦     
銃劍|총검|bayonet| 銃 劍     
海邊|해변|beach| 海 邊     
橋頭堡|교두보|beachhead| 橋 頭 堡    
烽火|봉화|beacon| 烽 火     
光線|광선|beam| 光 線     
至福|지복|beatitude| 至 福     
海狸|해리|beaver| 海 狸     
寢臺|침대|bed| 寢 臺     
寢具|침구|bedding| 寢 具     
便器|변기|bedpan| 便 器     
岩床|암상|bedrock| 岩 床     
寢室|침실|bedroom| 寢 室     
麥酒|맥주|beer| 麥 酒     
甲蟲|갑충|beetle| 甲 蟲     
初心者|초심자|beginner| 初 心 者    
開始|개시|beginning| 開 始     
發端|발단|beginning| 發 端     
行動|행동하다|behave| 行 動     
生存|생존|being| 生 存     
鐘樓|종루|belfry| 鐘 樓     
信念|신념|belief| 信 念     
信仰|신앙|belief| 信 仰     
信用|신용|belief| 信 用     
信者|신자|believer| 信 者     
鐘樓|종루|bell tower| 鐘 樓     
恩人|은인|benefactor| 恩 人     
有益|유익|beneficial| 有 益     
恩惠|은혜|benefit| 恩 惠     
安息香|안식향|benzoin| 安 息 香    
遺贈|유증|bequest| 遺 贈     
遺産|유산|bequest| 遺 産     
死別|사별|bereavement| 死 別     
脚氣|각기|beriberi| 脚 氣     
注文|주문하다|bespeak| 注 文     
獸姦|수간|bestiality| 獸 姦     
豫示|예시하다|betoken| 豫 示     
背信|배신|betrayal| 背 信     
改善|개선|betterment| 改 善     
魅惑|매혹하다|bewitch| 魅 惑     
自轉車|자전거|bicycle| 自 轉 車    
入札|입찰하다|bid| 入 札     
入札|입찰|bidding| 入 札     
重婚者|중혼자|bigamist| 重 婚 者    
重婚|중혼|bigamy| 重 婚     
膽汁|담즙|bile| 膽 汁     
撞球|당구|billiards| 撞 球     
複本位制|복본위제|bimetallism| 複 本 位 制   
束縛|속박|binding| 束 縛     
束縛|속박하는|binding| 束 縛     
生化學|생화학|biochemistry| 生 化 學    
傳記|전기|biography| 傳 記     
生物學|생물학|biology| 生 物 學    
複葉|복엽|biplane| 複 葉     
出生|출생|birth| 出 生     
誕生|탄생|birth| 誕 生     
出産|출산|birth| 出 産     
野營|야영하다|bivouac| 野 營     
紅茶|홍차|black tea| 紅 茶     
高爐|고로|blast furnace| 高 爐     
發破|발파|blasting| 發 破     
火炎|화염|blaze| 火 炎     
漂白|표백|bleaching| 漂 白     
幸福|행복|blessedness| 幸 福     
祝福|축복|blessing| 祝 福     
盲点盲點|맹점|blind spot| 盲 点 盲 點   
明滅|명멸하는|blinking| 明 滅     
封鎖|봉쇄|blockade| 封 鎖     
血液|혈액|blood| 血 液     
血球|혈구|blood cell| 血 球     
血塊|혈괴|blood clot| 血 塊     
敗血症|패혈증|blood poisoning| 敗 血 症    
血壓|혈압|blood pressure| 血 壓     
血管|혈관|blood vessel| 血 管     
流血流血|유혈|bloodshed| 流 血 流 血   
吸血鬼|흡혈귀|bloodsucker| 吸 血 鬼    
汚点汚點|오점|blot| 汚 点 汚 點   
吹管|취관|blowpipe| 吹 管     
靑寫眞|청사진|blueprint| 靑 寫 眞    
沸騰|비등|boiling| 沸 騰     
沸騰|비등하는|boiling| 沸 騰     
爆彈|폭탄|bomb| 爆 彈     
證書|증서|bond| 證 書     
焚書|분서|book burning| 焚 書     
書評|서평|book review| 書 評     
豫約|예약|booking| 豫 約     
簿記|부기|bookkeeping| 簿 記     
書架|서가|bookshelf| 書 架     
露店|노점|booth| 露 店     
戰利品|전리품|booty| 戰 利 品    
倦怠|권태|boredom| 倦 怠     
借用|차용|borrowing| 借 用     
植物學|식물학|botany| 植 物 學    
隘路|애로|bottleneck| 隘 路     
限界|한계|bound| 限 界     
境界|경계|boundary| 境 界     
拳鬪|권투|boxing| 拳 鬪     
少年|소년|boy| 少 年     
排斥|배척하다|boycott| 排 斥     
支柱|지주|brace| 支 柱     
頭腦|두뇌|brain| 頭 腦     
腦波|뇌파|brain wave| 腦 波     
洗腦|세뇌|brainwashing| 洗 腦     
分派|분파|branch| 分 派     
支流|지류|branch| 支 流     
支脈|지맥|branch| 支 脈     
烙印|낙인|brand| 烙 印     
勇敢|용감|bravery| 勇 敢     
違反|위반|breach| 違 反     
絶交|절교|breach| 絶 交     
衰弱|쇠약|breakdown| 衰 弱     
朝飯|조반|breakfast| 朝 飯     
解散|해산|breakup| 解 散     
防波堤|방파제|breakwater| 防 波 堤    
胸部|흉부|breast| 胸 部     
乳房|유방|breast| 乳 房     
胸壁|흉벽|breastwork| 胸 壁     
呼吸|호흡|breath| 呼 吸     
休息|휴식하다|breathe| 休 息     
飼育|사육|breeding| 飼 育     
同胞|동포|brethren| 同 胞     
簡潔|간결|brevity| 簡 潔     
贈收賄|증수회|bribery| 贈 收 賄    
新婦|신부|bride| 新 婦     
艦橋|함교|bridge| 艦 橋     
橋頭堡|교두보|bridgehead| 橋 頭 堡    
旅團|여단|brigade| 旅 團     
山賊|산적|brigand| 山 賊     
光彩|광채|brilliance| 光 彩     
剛毛|강모|bristle| 剛 毛     
蠶豆|잠두|broad bean| 蠶 豆     
放送|방송하다|broadcast| 放 送     
放送|방송|broadcast| 放 送     
放送|방송|broadcasting| 放 送     
口錢|구전|brokerage| 口 錢     
靑銅|청동|bronze| 靑 銅     
褐炭|갈탄|brown coal| 褐 炭     
蠻行|만행|brutality| 蠻 行     
豫算|예산|budget| 豫 算     
建物|건물|building| 建 物     
球根|구근|bulb| 球 根     
浮力|부력|buoyancy| 浮 力     
負擔|부담|burden| 負 擔     
官僚|관료|bureaucrat| 官 僚     
埋葬|매장|burial| 埋 葬     
實業|실업|business| 實 業     
營業|영업|business| 營 業     
事業|사업|business| 事 業     
用件|용건|business| 用 件     
上半身|상반신|bust| 上 半 身    
執事|집사|butler| 執 事     
買收|매수하다|buy| 買 收     
副産物|부산물|byproduct| 副 産 物    
傍觀者|방관자|bystander| 傍 觀 者    
徒黨|도당|cabal| 徒 黨     
船室|선실|cabin| 船 室     
仙人掌|선인장|cactus| 仙 人 掌    
災難|재난|calamity| 災 難     
方解石|방해석|calcite| 方 解 石    
打算的|타산적인|calculating| 打 算 的    
打算|타산|calculation| 打 算     
結石|결석|calculus| 結 石     
訪問|방문하다|call| 訪 問     
書法|서법|calligraphy| 書 法     
天職|천직|calling| 天 職     
無風|무풍|calm| 無 風     
平穩|평온|calm| 平 穩     
冷靜|냉정|calm| 冷 靜     
誹謗|비방하다|calumniate| 誹 謗     
駱駝|낙타|camel| 駱 駝     
僞裝|위장|camouflage| 僞 裝     
迷彩|미채|camouflage| 迷 彩     
僞裝|위장하다|camouflage| 僞 裝     
幕舍|막사|camp| 幕 舍     
從軍|종군|campaign| 從 軍     
從軍|종군하다|campaign| 從 軍     
樟腦|장뇌|camphor| 樟 腦     
野營|야영|camping| 野 營     
校庭|교정|campus| 校 庭     
構內|구내|campus| 構 內     
學園|학원|campus| 學 園     
運河|운하|canal| 運 河     
燭光|촉광|candlepower| 燭 光     
天蓋|천개|canopy| 天 蓋     
隱語|은어|cant| 隱 語     
容積|용적|capacity| 容 積     
容量|용량|capacity| 容 量     
力量|역량|capacity| 力 量     
元金|원금|capital| 元 金     
死刑|사형|capital punishment| 死 刑     
極刑|극형|capital punishment| 極 刑     
資本家|자본가|capitalist| 資 本 家    
艇長|정장|captain| 艇 長     
魅惑|매혹|captivation| 魅 惑     
逮捕者|체포자|captor| 逮 捕 者    
捕獲|포획하다|capture| 捕 獲     
捕獲|포획|capture| 捕 獲     
占領|점령|capture| 占 領     
洗車|세차|car wash| 洗 車     
甲殼|갑각|carapace| 甲 殼     
炭水化物|탄수화물|carbohydrate| 炭 水 化 物   
石炭酸|석탄산|carbolic acid| 石 炭 酸    
一酸化炭素|일산화탄소|carbon monoxide| 一 酸 化 炭 素  
炭酸|탄산|carbonic acid| 炭 酸     
炭化|탄화|carbonization| 炭 化     
發癌|발암|carcinogenesis| 發 癌     
板紙|판지|cardboard| 板 紙     
保護|보호|care| 保 護     
不注意|부주의|carelessness| 不 注 意    
愛撫|애무하다|caress| 愛 撫     
船荷|선하|cargo| 船 荷     
貨物|화물|cargo| 貨 物     
蟲齒|충치|caries| 蟲 齒     
頌歌|송가|carol| 頌 歌     
絨緞|융단|carpet| 絨 緞     
運搬|운반|carriage| 運 搬     
保菌者|보균자|carrier| 保 菌 者    
傳書鳩|전서구|carrier pigeon| 傳 書 鳩    
積載|적재|carrying| 積 載     
軟骨|연골|cartilage| 軟 骨     
彫刻|조각|carving| 彫 刻     
事件|사건|case| 事 件     
乾酪素|건락소|casein| 乾 酪 素    
現金|현금|cash| 現 金     
鑄鐵|주철|cast iron| 鑄 鐵     
鑄鋼|주강|cast steel| 鑄 鋼     
鑄造|주조|casting| 鑄 造     
鑄物|주물|casting| 鑄 物     
去勢|거세|castration| 去 勢     
負傷者|부상자|casualty| 負 傷 者    
觸媒|촉매|catalyst| 觸 媒     
發射|발사하다|catapult| 發 射     
捕球|포구|catch| 捕 球     
標語|표어|catchword| 標 語     
範疇|범주|category| 範 疇     
種類|종류|category| 種 類     
部門|부문|category| 部 門     
調達|조달하다|cater| 調 達     
毛蟲|모충|caterpillar| 毛 蟲     
腸線|장선|catgut| 腸 線     
原因|원인|cause| 原 因     
注意|주의|caution| 注 意     
洞窟|동굴|cave| 洞 窟     
空洞|공동|cavity| 空 洞     
祝賀|축하|celebration| 祝 賀     
祝典|축전|celebration| 祝 典     
名士|명사|celebrity| 名 士     
天球|천구|celestial sphere| 天 球     
獨身|독신자|celibate| 獨 身     
細胞分裂|세포분열|cell division| 細 胞 分 裂   
遠心力|원심력|centrifugal force| 遠 心 力    
